"  0.000643   0.000001   0.000644 (  0.000643)
";"  0.715510   0.000000   0.715510 (  0.715594)
";"  1.677318   0.000000   1.677318 (  1.678048)
";"  2.254953   0.000000   2.254953 (  2.255310)
";"  0.014463   0.000001   0.014464 (  0.014469)
"
"  0.000757   0.000000   0.000757 (  0.000755)
";"  0.811882   0.000000   0.811882 (  0.811995)
";"  1.976126   0.000000   1.976126 (  1.976410)
";"  2.711517   0.000000   2.711517 (  2.711894)
";"  0.017473   0.000002   0.017475 (  0.017480)
"
"  0.000989   0.000000   0.000989 (  0.000991)
";"  0.955147   0.000000   0.955147 (  0.955288)
";"  2.522552   0.000000   2.522552 (  2.522864)
";"  3.119389   0.003996   3.123385 (  3.123820)
";"  0.017297   0.000001   0.017298 (  0.017305)
"
"  0.000918   0.000000   0.000918 (  0.000916)
";"  1.000809   0.000000   1.000809 (  1.000949)
";"  2.739123   0.000000   2.739123 (  2.739482)
";"  3.480180   0.003998   3.484178 (  3.484614)
";"  0.020497   0.000001   0.020498 (  0.020505)
"
"  0.000894   0.000000   0.000894 (  0.000892)
";"  1.289027   0.000000   1.289027 (  1.289197)
";"  3.105192   0.000000   3.105192 (  3.105594)
";"  4.151714   0.000000   4.151714 (  4.152234)
";"  0.021311   0.000000   0.021311 (  0.021317)
"
"  0.001102   0.000000   0.001102 (  0.001103)
";"  1.395731   0.000000   1.395731 (  1.395900)
";"  3.586284   0.000000   3.586284 (  3.586728)
";"  4.580982   0.000000   4.580982 (  4.581494)
";"  0.018500   0.003999   0.022499 (  0.022505)
"
"  0.001078   0.000000   0.001078 (  0.001077)
";"  1.523308   0.000000   1.523308 (  1.523481)
";"  4.034110   0.000001   4.034111 (  4.034587)
";"  5.266805   0.000000   5.266805 (  5.267402)
";"  0.025788   0.000000   0.025788 (  0.025795)
"
"  0.001251   0.000000   0.001251 (  0.001251)
";"  1.840633   0.003998   1.844631 (  1.844935)
";"  4.455275   0.004000   4.459275 (  4.459956)
";"  6.205097   0.000001   6.205098 (  6.206143)
";"  0.025331   0.000000   0.025331 (  0.025336)
"
"  0.001266   0.000000   0.001266 (  0.001267)
";"  1.976603   0.000000   1.976603 (  1.976917)
";"  4.999029   0.003998   5.003027 (  5.003886)
";"  6.813102   0.011999   6.825101 (  6.826212)
";"  0.026908   0.000000   0.026908 (  0.026923)
"
"  0.000000   0.001284   0.001284 (  0.001283)
";"  2.222704   0.000862   2.223566 (  2.223871)
";"  5.578964   0.000000   5.578964 (  5.579771)
";"  7.563542   0.000001   7.563543 (  7.564598)
";"  0.030408   0.000000   0.030408 (  0.030415)
"
"  0.001293   0.000001   0.001294 (  0.001293)
";"  2.452555   0.000000   2.452555 (  2.452913)
";"  6.073603   0.003999   6.077602 (  6.078471)
";"  8.206734   0.004000   8.210734 (  8.211929)
";"  0.032013   0.000000   0.032013 (  0.032020)
"
"  0.001450   0.000000   0.001450 (  0.001449)
";"  2.694808   0.000000   2.694808 (  2.695156)
";"  6.783190   0.003999   6.787189 (  6.788144)
";"  8.941994   0.003999   8.945993 (  8.947354)
";"  0.057798   0.000000   0.057798 (  0.057807)
"
"  0.000000   0.002089   0.002089 (  0.002088)
";"  2.708574   0.001826   2.710400 (  2.710736)
";"  7.474379   0.003999   7.478378 (  7.479198)
";"  9.352698   0.000001   9.352699 (  9.366320)
";"  0.031473   0.000000   0.031473 (  0.031480)
"
"  0.001561   0.000000   0.001561 (  0.001561)
";"  2.898915   0.000000   2.898915 (  2.899226)
";"  8.336121   0.011998   8.348119 (  8.349375)
";" 11.076577   0.015997  11.092574 ( 11.135331)
";"  0.034907   0.000000   0.034907 (  0.034936)
"
